amount,is_fraud,transaction_time,location,device_type,merchant_category,upi_id,transaction_frequency,num_transactions_24hrs,num_transactions_48hrs,time_since_last_transaction
1077.06,0,2025-02-20 05:41:09,Telangana,Trusted,Electronics,bhatjagvi@icici,2,4,5,816
1782.93,0,2025-01-15 07:31:51,Meghalaya,Trusted,Electronics,banjeet40@hdfcbank,3,3,4,164
9414.56,0,2025-01-27 21:14:09,Tamil Nadu,Trusted,Travel,jhalakbhalla@hdfcbank,1,4,14,618
5197.39,0,2025-02-27 01:45:30,Kerala,Trusted,Fashion,falak88@paytm,3,0,9,48
4036.61,0,2025-01-24 10:15:39,Tamil Nadu,Trusted,Travel,zarna28@icici,3,4,12,787
2120.72,0,2025-01-31 21:59:27,West Bengal,Trusted,Electronics,zoza@sbi,2,5,11,177
4631.78,0,2025-01-02 06:48:44,Maharashtra,Trusted,Travel,chanakyakant@hdfcbank,3,1,8,820
5385.36,0,2025-02-08 22:45:32,Uttar Pradesh,Trusted,Fashion,joshiadvika@hdfcbank,2,4,12,470
1448.54,1,2025-03-02 21:03:00,Kanpur,Trusted,Fashion,anvi78@kotak,6,14,21,55
5054.81,0,2025-02-26 05:37:07,Madhya Pradesh,Trusted,Others,kapurjeela@icici,2,1,9,171
9834.23,0,2025-03-10 12:12:18,Madhya Pradesh,Trusted,Food,bariaupma@hdfcbank,3,2,9,502
785.73,0,2025-02-17 17:25:37,Goa,Trusted,Food,amaira93@axisbank,2,2,2,802
7523.24,0,2025-01-19 06:32:03,Tamil Nadu,Trusted,Electronics,edugal@kotak,2,5,8,0
3003.79,0,2025-02-22 18:38:25,Odisha,Trusted,Grocery,champakmangat@sbi,1,0,0,838
6063.87,0,2025-01-29 23:33:14,Mizoram,Trusted,Travel,yoshita12@hdfcbank,3,4,13,773
4582.58,0,2025-03-09 18:29:52,Jharkhand,Trusted,Others,tamannaverma@sbi,3,1,5,881
5521.31,0,2025-03-16 14:01:31,Andhra Pradesh,Trusted,Food,prashadgirik@hdfcbank,2,5,3,746
6954.92,0,2025-03-05 13:18:21,Tripura,Trusted,Electronics,cdave@kotak,3,1,7,500
2333.14,0,2025-01-12 05:56:09,Jharkhand,Trusted,Food,morarwarhi@sbi,3,4,2,300
5203.82,0,2025-03-16 02:59:44,Meghalaya,Trusted,Fashion,xiti03@kotak,1,3,5,505
838.77,0,2025-03-08 15:17:50,Tripura,Trusted,Others,cherianvasatika@axisbank,2,0,5,680
5962.24,0,2025-02-24 08:23:34,Odisha,Trusted,Grocery,yagneshgopal@axisbank,3,4,10,918
5713.59,0,2025-03-18 17:06:05,Kerala,Trusted,Travel,jagratikalita@hdfcbank,2,1,3,684
2575.04,0,2025-03-14 22:05:12,Telangana,Trusted,Others,sahluwalia@kotak,2,2,12,952
4151.21,0,2025-02-05 00:53:43,Andhra Pradesh,Trusted,Grocery,sachdevfarhan@hdfcbank,2,3,12,1028
9519.51,0,2025-03-13 01:25:22,Telangana,Trusted,Grocery,yatinbose@yesbank,1,1,3,864
450.61,0,2025-03-13 16:26:48,Chhattisgarh,Trusted,Grocery,jacksonnagarajan@axisbank,3,4,13,383
8154.62,0,2025-03-16 22:14:05,Maharashtra,Trusted,Others,lradhakrishnan@sbi,1,0,7,222
5668.07,0,2025-02-10 15:15:37,Nagaland,Trusted,Travel,kumerira@axisbank,2,0,4,716
5544.12,0,2025-01-10 15:21:26,Punjab,Trusted,Food,gautam31@yesbank,1,1,4,894
693.09,0,2025-01-02 00:07:01,Rajasthan,Trusted,Electronics,hmyerreva@hdfcbank,3,2,1,321
8793.98,0,2025-02-12 16:27:16,Kerala,Trusted,Others,vasawarda@icici,3,4,8,876
4339.6,0,2025-01-04 05:01:50,Telangana,Trusted,Fashion,warda61@sbi,3,3,12,477
2216.1,0,2025-03-18 08:07:01,Meghalaya,Trusted,Food,ekalinga63@axisbank,3,4,7,344
4539.68,0,2025-01-15 13:05:36,West Bengal,Trusted,Electronics,aryantandon@sbi,1,5,8,384
9583.5,0,2025-03-16 08:34:59,Bihar,Trusted,Travel,ekani32@axisbank,3,1,9,1021
778.49,0,2025-02-02 16:09:38,Chhattisgarh,Trusted,Electronics,kiaan10@hdfcbank,1,6,11,512
8845.95,0,2025-01-24 13:00:42,Rajasthan,Trusted,Food,chaudryhardik@kotak,1,4,7,229
984.85,0,2025-01-18 20:54:09,Mizoram,Trusted,Food,madhavisabharwal@axisbank,2,4,13,715
9108.76,0,2025-01-03 15:58:16,West Bengal,Trusted,Electronics,indali85@axisbank,3,6,8,191
6692.28,0,2025-03-03 15:55:13,Telangana,Trusted,Grocery,bhatnagarrajata@axisbank,1,1,1,444
5838.67,0,2025-03-05 06:44:53,Tripura,Trusted,Grocery,onkarvenkatesh@paytm,3,5,3,481
1321.25,0,2025-03-02 01:01:08,Uttarakhand,Trusted,Fashiwn,nattbhanumati@yesbank,1,4,4,966
6677.66,0,2025-02-07 00:55:56,Jharkhand,Trusted,Food,nkakar@paytm,3,0,3,583
4502.9,0,2025-01-25 23:47:24,Arunachal Pradesh,Trusted,Fashion,anita13@sbi,2,5,11,696
4590.5,0,2025-01-26 23:43:11,Mizoram,Trusted,Food,rsathe@sbi,1,2,1,763
2233.68,0,2025-02-13 05:51:22,Punjab,Trusted,Travel,ekantikadhar@icici,2,4,6,83
6243.8,0,2025-02-23 03:51:22,Uttar Pradesh,Trusted,Travel,aryachoudhury@axisbank,1,2,12,473
6025.47,0,2025-03-08 07:10:44,Tripura,Trusted,Electronics,charles27@kotak,2,3,2,780
5553.0,0,2025-02-19 03:20:34,Nagaland,Trusted,Others,devanwaida@hdfcbank,3,4,7,411
6232.72,0,2025-01-17 13:28:48,Maharashtra,Trusted,Travel,rattatanay@yesbank,3,5,5,773
407.75,0,2025-03-16 07:24:49,Punjab,Trusted,Fashion,vedaupadhyay@yesbank,1,5,10,238
5300.65,0,2025-02-05 05:27:27,Mizoram,Trusted,Travel,ikshitalanka@axisbank,2,1,2,190
1218.93,0,2025-01-28 23:58:11,Haryana,Trusted,Grocery,rudra36@sbi,2,2,2,580
7149.18,0,2025-03-06 10:28:31,West Bengal,Trusted,Electronics,joshicharvi@yesbank,1,4,4,278
8754.93,0,2025-01-05 13:48:51,Uttarakhand,Trusted,Grocery,xraghavan@paytm,2,3,7,944
4264.72,0,2025-01-14 18:59:23,Maharashtra,Trusted,Food,nakulwalia@sbi,2,0,1,157
3146.03,0,2025-03-06 12:37:21,Himachal Pradesh,Trusted,Electronics,tejas2w@yesbank,1,3,6,560
9266.47,0,2025-02-04 17:45:40,Goa,Trusted,Others,sethrushil@kotak,2,3,11,862
4530.2,0,2025-03-15 08:06:46,Telangana,Trusted,Fashion,brahmbhattradha@hdfcbank,3,6,15,224
4399.9,0,2025-02-22 13:50:02,Goa,Trusted,Electronics,mahajancharan@sbi,1,5,7,253
3016.19,0,2025-02-06 03:56:16,Goa,Trusted,Food,karavedika@yesbank,1,3,4,135
1608.91,0,2025-03-05 01:09:37,Meghalaya,Trusted,Others,patlachasmum@yesbank,3,5,9,881
5225.08,0,2025-03-01 20:20:10,Madhya Pradesh,Trusted,Fashion,pallavi38@axisbank,3,1,0,515
6354.1,0,2025-03-01 21:40:46,Jharkhand,Trusted,Electronics,imarankaur@yesbank,1,5,13,729
8362.39,0,2025-02-13 01:06:00,Odisha,Trusted,Fashion,xalak42@axisbank,1,2,5,730
5751.78,0,2025-01-26 22:25:52,Rajasthan,Trusted,Grocery,fkarnik@sbi,1,2,6,325
3668.28,0,2025-01-23 13:17:41,Mizoram,Trusted,Travel,vermaeta@icici,3,4,8,295
7229.07,0,2025-02-09 16:51:13,Telangana,Trusted,Grocery,mastergautami@sbi,3,2,11,474
2508.73,0,2025-03-08 13:22:05,Telangana,Trusted,Grocery,kavyamadan@axisbank,3,0,2,948
5681.75,0,2025-03-04 07:53:05,Punjab,Trusted,Travel,swamygautam@paytm,1,2,0,805
7823.55,0,2025-01-25 04:00:44,Punjab,Trusted,Fashion,haurirandhawa@sbi,3,5,6,627
5689.66,0,2025-01-23 15:18:18,Himachal Pradesh,Trusted,Grocery,bhandarimichael@yesbank,1,3,6,341
8131.03,0,2025-01-21 12:46:24,Mizoram,Trusted,Electronics,isaiah95@paytm,1,0,3,918
6757.25,0,2025-03-14 23:54:01,Meghalaya,Trusted,Others,santkavya@axisbank,1,4,6,1003
7886.31,0,2025-03-05 08:09:29,Sikkim,Trusted,Grocery,lekhahari@sbi,2,4,7,540
3420.8,0,2025-01-05 15:21:31,Gujarat,Trusted,Fashion,ekbalroy@hdfcbank,2,0,2,14
7574.77,0,2025-02-19 00:49:06,Manipur,Trusted,Travel,rachita75@kotak,1,2,1,589
8782.04,0,2025-02-23 06:22:56,Tripura,Trusted,Food,jack17@hdfcbank,2,5,10,904
3976.87,0,2025-02-27 22:34:22,Arunachal Pradesh,Trusted,Electronics,wardavarughese@icici,3,5,8,828
7806.62,0,2025-01-31 22:48:01,Uttarakhand,Trusted,Travel,amuni@yesbank,1,1,12,51
127.87,0,2025-03-07 09:48:02,Maharashtra,Trusted,Grocery,ukhanna@paytm,2,2,8,187
4872.69,0,2025-02-12 16:32:27,West Bengal,Trusted,Food,periishaan@paytm,3,0,1,924
3354.07,0,2025-02-09 01:57:03,Manipur,Trusted,Grocery,chakrikabhargava@hdfcbank,1,5,13,483
3968.1,0,2025-03-18 13:09:31,Maharashtra,Trusted,Grocery,msarma@kotak,3,1,9,697
5212.87,0,2025-01-11 00:28:52,Rajasthan,Trusted,Grocery,saizacharia@kotak,3,3,12,585
6941.25,0,2025-01-10 03:15:51,Punjab,Trusted,Food,anay61@yesbank,3,3,10,660
4604.84,0,2025-01-20 12:02:59,Telangana,Trusted,Fashion,arjun96@icici,2,1,5,386
2364.23,0,2025-01-03 03:51:59,Karnataka,Trusted,Travel,panditchanchal@yesbank,1,4,7,189
9250.81,0,2025-03-03 18:57:11,Assam,Trusted,Food,geetikaprabhu@sbi,2,0,1,53
3445.72,0,2025-02-13 20:30:03,Gujarat,Trusted,Others,faraj57@icici,2,3,5,216
1641.26,0,2025-02-23 22:28:28,Rajasthan,Trusted,Electronics,kadakiaekiya@hdfcbank,2,4,8,117
7637.57,0,2025-02-23 20:16:45,Chhattisgarh,Trusted,Fashion,aashi23@axisbank,2,2,13,746
4505.93,0,2025-01-04 03:21:28,Jharkhand,Trusted,Food,chanderchampak@sbi,1,2,3,464
4291.45,0,2025-01-12 18:32:37,West Bengal,Trusted,Electronics,candra@icici,2,1,5,89
418.04,0,2025-02-10 15:02:59,Manipur,Trusted,Grocery,akshay30@axisbank,2,3,3,848
5770.48,0,2025-02-02 06:01:09,Rajasthan,Trusted,Food,haritapurohit@yesbank,3,4,8,442
1898.36,0,2025-01-18 16:24:02,West Bengal,Trusted,Others,lcomar@icici,2,3,12,252
5509.44,0,2025-01-20 08:18:55,Kerala,Trusted,Others,adya61@axisbank,3,4,4,852
10069.11,0,2025-02-04 23:33:49,Haryana,Trusted,Food,thakkarandrew@axisbank,2,1,0,97
9137.06,0,2025-01-16 11:12:54,Rajasthan,Trusted,Grocery,gkalita@axisbank,3,2,1,957
2044.16,0,2025-03-15 03:22:03,Gujarat,Trusted,Fashion,ranand@yesbank,3,1,3,551
2773.68,0,2025-02-09 22:37:23,Mizoram,Trusted,Others,mahajansanaya@axisbank,3,4,10,605
9350.62,0,2025-01-16 13:24:45,Tripura,Trusted,Food,aayush99@hdfcbank,3,1,5,390
114.13,0,2025-02-11 02:54:27,Arunachal Pradesh,Trusted,Grocery,kandarayaan@hdfcbank,2,0,1,914
5108.96,0,2025-03-14 07:13:03,Odisha,Trusted,Travel,yoshita44@kotak,1,2,0,448
3547.96,0,2025-03-16 13:20:43,Karnataka,Trusted,Electronics,msampath@sbi,2,1,7,336
4054.51,0,2025-01-10 02:27:04,Tamil Nadu,Trusted,Grocery,karaeiravati@paytm,2,3,10,76
3836.51,0,2025-03-03 21:33:23,Meghalaya,Trusted,Fashion,lekhaborah@hdfcbank,1,2,5,398
1589.12,0,2025-02-03 04:53:17,Himachal Pradesh,Trusted,Food,hema98@axisbatk,3,2,7,387
9744.2,0,2025-03-01 07:33:14,Himachal Pradesh,Trusted,Electronics,ekantagala@icici,3,0,4,276
1580.63,0,2025-01-31 17:04:26,Tamil Nadu,Trusted,Electronics,yadavi09@hdfcbank,3,1,6,839
8709.2,0,2025-02-24 20:37:43,West Bengal,Trusted,Others,hemanginipatil@kotak,1,5,10,303
7094.54,0,2025-02-10 20:32:47,Madhya Pradesh,Trusted,Food,pranavrege@yesbank,3,1,9,702
8830.0,0,2025-03-10 02:35:01,Karnataka,Trusted,Others,zaggarwal@yesbank,3,1,7,685
448.55,0,2025-01-21 23:25:14,Goa,Trusted,Grocery,adya22@paytm,1,4,10,798
7447.54,0,2025-01-29 00:33:54,Jharkhand,Trusted,Travel,falakvyas@kotak,2,0,8,110
1163.46,0,2025-03-09 10:56:51,Arunachal Pradesh,Trusted,Travel,deodayita@yesbank,2,5,12,277
5381.27,0,2025-01-02 06:12:37,Himachal Pradesh,Trusted,Grocery,obhavsar@axisbank,2,4,12,273
10299.12,0,2025-03-05 13:44:21,Goa,Trusted,Others,krishnaninaya@kotak,3,0,0,115
9228.0,0,2025-01-07 00:43:33,Sikkim,Trusted,Electronics,dthaman@icici,2,2,9,49
7582.51,0,2025-01-06 06:53:52,Telangana,Trusted,Travel,tanmayiparmer@sbi,3,0,8,613
627.6590000000001,0,2025-03-08 00:55:50,Odisha,Trusted,Fashion,robert88@kotak,2,2,12,633
2786.73,1,2025-03-03 14:34:08,Ghaziabad,Trusted,Others,vmital@yesbank,2,20,24,7
9027.0,0,2025-03-13 12:59:24,Madhya Pradesh,Trusted,Electronics,wpillay@kotak,2,5,14,27
1724.74,0,2025-01-03 18:47:28,Bihar,Trusted,Fashion,yatin14@sbi,1,5,8,878
5839.29,0,2025-03-16 00:01:00,Jharkhand,Trusted,Electronics,daveekanta@kotak,2,2,4,1044
684.36,0,2025-02-15 07:21:17,Kerala,Trusted,Travel,eiravati56@kotak,3,3,11,599
10094.89,0,2025-01-29 10:06:50,Telangana,Trusted,Grocery,fpal@yesbank,2,1,10,816
7771.39,0,2025-01-16 05:37:34,Madhya Pradesh,Trusted,Electronics,osidhu@icici,3,4,11,515
122.77,1,2025-02-24 01:41:13,Mangalore,Trusted,Fashion,chaitaly83@kotak,2,18,24,32
7096.34,0,2025-01-12 03:00:38,Punjab,Trusted,Others,haritapingle@axisbank,3,3,4,631
2658.77,1,2025-02-08 07:06:29,Naihati,Trusted,Fashion,logan75@hdfcbank,5,10,13,30
3783.17,0,2025-03-12 17:20:57,Tripura,Trusted,Fashion,urmi58@axisbank,2,0,8,494
8858.83,0,2025-02-09 15:14:57,Karnataka,Trusted,Others,sharmaneel@kotak,3,5,7,117
4239.89,0,2025-01-13 11:35:20,Chhattisgarh,Trusted,Food,aayushdey@axisbank,2,2,3,681
4450.29,0,2025-03-13 09:48:39,Uttarakhand,Trusted,Fashioi,qasimnair@paytm,1,3,9,765
5605.58,0,2025-02-19 15:05:32,Manipur,Trusted,Grocery,urishilla92@sbi,1,3,3,545
2259.59,0,2025-01-26 23:33:38,Madhya Pradesh,Trusted,Grocery,maninidra@hdfubank,1,0,0,474
7300.44,0,2025-01-18 15:28:06,Arunachal Pradesh,Trusted,Others,pdevi@icici,3,0,6,906
8040.74,0,2025-02-13 21:52:11,Arunachal Pradesh,Trusted,Food,balasubramanianoliver@yesbank,1,6,7,609
5866.93,0,2025-01-08 23:12:58,Goa,Trusted,Grocery,kashvikala@yesbank,1,1,5,0
2756.71,0,2025-02-18 06:31:02,Uttar Pradesh,Trusted,Others,deoaashi@hdfcbank,1,3,8,98
10269.82,0,2025-03-11 08:51:28,Tamil Nadu,Trusted,Grocery,kumeranusha@yesbank,3,3,4,745
6879.6,0,2025-01-28 12:05:38,Chhattisgarh,Trusted,Grocery,vhanda@kotak,3,1,5,696
6501.25,1,2025-02-15 00:20:23,Adoni,Trusted,Food,periradhika@hdfcbank,3,13,17,15
5652.44,0,2025-01-25 05:00:20,Gujarat,Trusted,Grocery,mandaharita@yesbank,1,1,9,75
6571.65,0,2025-02-15 05:01:45,Jharkhand,Trusted,Fashion,manderaadhya@sbi,2,6,11,318
3494.38,0,2025-01-13 20:26:33,Tamil Nadu,Trusted,Others,swaminathanbakhshi@hdfcbank,2,2,10,522
4099.47,0,2025-01-02 05:32:22,Arunachal Pradesh,Trusted,Electronics,wtoor@kotak,2,3,13,59
2640.59,0,2025-03-11 12:13:20,Assam,Trusted,Food,aarav12@kotak,1,1,5,480
3862.11,0,2025-03-14 12:23:14,Jharkhand,Trusted,Grocery,rkar@paytm,1,4,8,861
3425.49,0,2025-02-18 23:13:13,Uttar Pradesh,Trusted,Electronics,solankivictor@kotak,1,0,1,444
154.45,0,2025-01-26 07:23:04,Meghalaya,Trusted,Electronics,anshkata@axisbank,1,2,3,573
6263.18,0,2025-03-07 21:38:58,Tamil Nadu,Trusted,Travel,balaomya@sbi,3,0,9,52
2278.53,0,2025-01-21 21:16:26,Uttarakhand,Trusted,Electronics,luthramugdha@axisbank,2,3,3,711
485.82,0,2025-01-10 12:29:24,Manipur,Trusted,Electronics,bahriamara@icici,2,3,3,256
5199.07,0,2025-02-21 12:25:32,Manipur,Trusted,Grocery,aarnathaker@paytm,2,3,6,75
5324.93,0,2025-01-14 19:34:31,Madhya Pradesh,Trusted,Travel,oni37@icici,2,2,6,965
3049.41,0,2025-01-21 12:20:15,Arunachal Pradesh,Trusted,Fashion,chauhanoeshi@yesbank,1,0,5,239
6910.06,0,2025-01-02 07:12:50,Manipur,Trusted,Fashion,cmadan@icici,3,0,0,0
8860.42,0,2025-01-01 00:01:45,Meghalaya,Trusted,Food,amandal@sbi,1,3,8,431
351.04200000000003,0,2025-01-24 22:09:09,Maharashtra,Trusted,Electronics,mananvarghese@paytm,1,2,9,660
1994.25,0,2025-02-24 16:27:59,Kerala,Trusted,Fashion,baradsai@axisbank,2,0,7,770
7902.55,0,2025-01-03 23:28:13,Himachal Pradesh,Trusted,Grocery,hema41@icici,3,5,10,317
1831.18,0,2025-03-10 13:01:52,Himachal Pradesh,Trusted,Others,jdash@kotak,3,3,2,662
961.07,0,2025-02-06 22:50:20,Andhra Pradesh,Trusted,Food,aahanagolla@sbi,2,1,2,801
2925.52,0,2025-03-15 21:54:13,Telangana,Trusted,Others,battawarda@hdfcbank,3,3,12,768
2033.98,0,2025-02-21 19:48:17,Goa,Trusted,Electronics,crana@paytm,3,2,9,656
677.18,0,2025-01-30 12:55:11,Punjab,Trusted,Electronics,udar@hdfcbank,1,2,11,375
9519.08,0,2025-01-11 00:46:45,Nagaland,Trusted,Grocery,tejaspant@kotak,1,1,0,722
7106.8,0,2025-02-28 18:47:40,Manipur,Trusted,Fashion,yutika76@icici,3,0,2,26
5072.6,0,2025-03-02 00:56:39,Tamil Nadu,Trusted,Electronics,jviswanathan@axisbank,3,0,6,847
8886.74,0,2025-01-19 01:46:39,Haryana,Trusted,Food,umangkohli@kotak,2,0,1,378
5619.88,0,2025-01-16 02:58:20,Maharashtra,Trusted,Grocery,jaggiaradhana@sbi,2,2,5,78
1253.76,0,2025-02-12 06:44:56,Karnataka,Trusted,Electronics,gkorpal@paytm,3,0,4,942
3732.48,0,2025-01-21 08:26:16,Manipur,Trusted,Food,xiti95@sbi,3,4,11,377
4545.08,0,2025-01-30 13:41:36,Telangana,Trusted,Travel,edhitha74@icici,2,5,7,921
3604.11,0,2025-02-06 13:01:38,Andhra Pradesh,Trusted,Fashion,mittalnitesh@kotak,2,3,2,907
5475.11,0,2025-02-04 10:25:45,Odisha,Trusted,Fashion,suragarima@kotak,3,6,14,964
